OrderID,OrderDate,Region,Category,Sales,Profit,CustomerID,Year,Month
ORD4315,2023-07-28,USA,Office Supplies,499.13,123.26,CUST222,2023,July
ORD1351,2022-12-15,Europe,Technology,325.97,-88.16,CUST100,2022,December
ORD1957,2022-04-28,Asia,Technology,9.84,-0.73,CUST100,2022,April
ORD2310,2022-02-11,Europe,Office Supplies,389.42,-104.29,CUST100,2022,February
ORD2763,2023-01-30,Europe,Office Supplies,412.49,17.97,CUST100,2023,January
ORD3782,2022-12-22,Europe,Office Supplies,225.68,-7.66,CUST100,2022,December
ORD5587,2023-05-14,USA,Furniture,466.48,1.94,CUST109,2023,May
ORD6018,2022-05-25,Europe,Office Supplies,66.74,5.42,CUST100,2022,May
ORD6773,2022-07-13,Asia,Furniture,115.52,13.41,CUST100,2022,July
ORD6993,2022-09-03,Asia,Technology,444.71,-50.28,CUST100,2022,September
ORD7351,2022-06-17,Asia,Technology,230.17,67.2,CUST100,2022,June
ORD7980,2023-03-09,USA,Office Supplies,437.23,-105.24,CUST897,2023,March
ORD7795,2023-09-04,Europe,Office Supplies,290.67,-55.64,CUST100,2023,September
ORD1314,2022-02-02,Asia,Furniture,481.88,109.55,CUST101,2022,February
ORD7085,2022-06-04,USA,Furniture,429.16,-7.57,CUST399,2022,June
ORD3507,2023-03-25,Europe,Technology,347.51,-8.5,CUST101,2023,March
ORD3005,2023-09-30,USA,Office Supplies,418.11,15.68,CUST970,2023,September
ORD3111,2022-04-27,USA,Technology,399.98,-6.48,CUST787,2022,April
ORD6054,2023-03-15,Asia,Office Supplies,294.95,-79.68,CUST101,2023,March
ORD8208,2022-06-29,Unknown,Furniture,269.33,-57.2,CUST101,2022,June
ORD6421,2022-05-26,USA,Technology,390.4,55.45,CUST920,2022,May
ORD8931,2023-02-19,USA,Furniture,388.62,78.76,CUST355,2023,February
ORD1494,2022-06-09,Europe,Furniture,251.73,-45.37,CUST102,2022,June
ORD2510,2023-03-16,USA,Technology,387.34,71.5,CUST685,2023,March
ORD3472,2023-07-18,Unknown,Furniture,124.73,-3.77,CUST102,2023,July
ORD7165,2023-08-20,USA,Furniture,386.83,-14.05,CUST437,2023,August
ORD1519,2022-03-31,USA,Technology,363.03,-31.64,CUST955,2022,March
ORD6641,2023-03-03,USA,Technology,359.61,-23.21,CUST852,2023,March
ORD2536,2022-02-16,USA,Technology,358.56,8.95,CUST333,2022,February
ORD7568,2022-06-14,Europe,Office Supplies,121.03,-21.19,CUST102,2022,June
ORD7849,2023-08-22,Europe,Technology,200.62,5.47,CUST102,2023,August
ORD7898,2023-12-22,Europe,Technology,15.31,4.37,CUST102,2023,December
ORD2198,2023-03-05,Asia,Technology,265.44,-6.35,CUST103,2023,March
ORD5848,2023-11-14,Asia,Furniture,309.56,-54.17,CUST103,2023,November
ORD6045,2023-03-23,Asia,Office Supplies,253.03,31.22,CUST103,2023,March
ORD6601,2022-03-04,Asia,Office Supplies,476.01,116.02,CUST103,2022,March
ORD6439,2023-03-08,USA,Technology,355.24,-96.42,CUST523,2023,March
ORD1139,2023-07-08,Asia,Office Supplies,224.75,30.36,CUST104,2023,July
ORD1217,2023-01-20,Europe,Office Supplies,298.09,-72.15,CUST104,2023,January
ORD2446,2023-09-12,Asia,Technology,219.19,-25.25,CUST104,2023,September
ORD2741,2023-07-16,Asia,Furniture,256.35,17.24,CUST104,2023,July
ORD3298,2022-05-29,Asia,Furniture,335.91,64.54,CUST104,2022,May
ORD4747,2022-08-23,Asia,Technology,291.92,23.29,CUST104,2022,August
ORD5137,2022-01-10,Europe,Office Supplies,259.89,-27.01,CUST104,2022,January
ORD6431,2023-07-29,Europe,Furniture,274.66,-54.62,CUST104,2023,July
ORD8898,2023-02-15,USA,Technology,349.85,88.49,CUST258,2023,February
ORD3256,2022-05-10,USA,Technology,340.7,-6.67,CUST449,2022,May
ORD4536,2022-10-30,USA,Office Supplies,337.86,62.36,CUST592,2022,October
ORD8464,2022-12-31,Europe,Technology,255.65,48.18,CUST104,2022,December
ORD1255,2023-07-05,USA,Technology,327.48,-40.61,CUST196,2023,July
ORD2352,2022-04-08,Europe,Technology,263.71,-37.46,CUST105,2022,April
ORD5641,2023-06-26,USA,Furniture,316.42,-65.95,CUST397,2023,June
ORD6792,2023-11-16,USA,Office Supplies,310.38,79.01,CUST250,2023,November
ORD7708,2022-01-18,Europe,Office Supplies,432.71,-16.14,CUST105,2022,January
ORD8193,2022-03-11,USA,Office Supplies,299.26,39.94,CUST882,2022,March
ORD1233,2022-10-21,Asia,Furniture,418.75,78.4,CUST106,2022,October
ORD1983,2023-07-04,Europe,Furniture,263.98,-22.17,CUST106,2023,July
ORD3945,2023-07-21,Europe,Technology,364.6,-38.74,CUST106,2023,July
ORD4956,2023-08-29,Asia,Office Supplies,125.12,36.45,CUST106,2023,August
ORD5200,2022-06-17,Asia,Office Supplies,118.67,-3.36,CUST106,2022,June
ORD6139,2023-05-26,USA,Technology,281.35,-53.6,CUST379,2023,May
ORD6094,2023-01-22,Europe,Office Supplies,284.82,75.6,CUST106,2023,January
ORD8592,2022-07-23,Europe,Technology,343.08,5.32,CUST106,2022,July
ORD7979,2022-04-02,USA,Technology,278.5,-42.19,CUST910,2022,April
ORD2216,2022-02-24,Europe,Furniture,342.46,-39.23,CUST107,2022,February
ORD3158,2022-12-28,Europe,Office Supplies,223.8,-41.14,CUST107,2022,December
ORD5259,2023-11-10,Asia,Furniture,453.68,75.89,CUST107,2023,November
ORD6544,2023-05-10,Asia,Office Supplies,499.83,-30.51,CUST107,2023,May
ORD8577,2023-07-28,Europe,Furniture,71.82,-0.71,CUST107,2023,July
ORD1216,2022-08-13,Europe,Technology,187.66,-42.15,CUST108,2022,August
ORD4578,2023-07-27,USA,Technology,275.16,-13.1,CUST778,2023,July
ORD4074,2022-12-20,Europe,Furniture,350.81,-71.69,CUST108,2022,December
ORD8406,2022-02-28,Asia,Furniture,248.41,-3.26,CUST108,2022,February
ORD8540,2022-08-25,Unknown,Office Supplies,489.82,54.83,CUST108,2022,August
ORD8776,2023-01-31,Asia,Technology,364.76,4.17,CUST108,2023,January
ORD1305,2023-08-03,Europe,Office Supplies,327.8,-60.21,CUST109,2023,August
ORD2314,2022-01-17,USA,Technology,255.99,-36.83,CUST467,2022,January
ORD4535,2022-02-26,USA,Technology,236.37,18.05,CUST666,2022,February
ORD2620,2022-01-31,USA,Office Supplies,234.15,-40.36,CUST848,2022,January
ORD3550,2023-10-10,Europe,Technology,128.58,21.66,CUST109,2023,October
ORD3566,2023-10-14,Asia,Furniture,392.45,-33.68,CUST109,2023,October
ORD3160,2022-05-21,USA,Technology,227.73,60.95,CUST207,2022,May
ORD2842,2023-12-01,USA,Technology,218.81,-14.82,CUST456,2023,December
ORD2659,2022-08-10,USA,Technology,216.93,-57.98,CUST214,2022,August
ORD7236,2023-01-02,Europe,Furniture,41.13,-3.6,CUST109,2023,January
ORD2657,2023-07-26,USA,Technology,206.47,29.17,CUST775,2023,July
ORD1972,2022-04-28,USA,Office Supplies,197.59,-24.54,CUST666,2022,April
ORD1423,2022-12-16,Asia,Technology,249.17,8.83,CUST110,2022,December
ORD3118,2023-04-15,Unknown,Furniture,421.4,56.29,CUST110,2023,April
ORD4400,2022-05-02,Asia,Technology,193.42,-20.4,CUST110,2022,May
ORD5800,2022-07-01,Europe,Office Supplies,334.86,-7.1,CUST110,2022,July
ORD6122,2022-11-24,USA,Furniture,165.99,-15.02,CUST622,2022,November
ORD7942,2022-06-17,Europe,Office Supplies,97.38,5.99,CUST110,2022,June
ORD1556,2022-12-08,Europe,Office Supplies,340.92,-30.04,CUST111,2022,December
ORD3310,2022-04-24,USA,Technology,143.25,-12.06,CUST982,2022,April
ORD2992,2022-08-05,USA,Furniture,135.73,-8.78,CUST662,2022,August
ORD2676,2022-09-27,Asia,Furniture,399.4,103.16,CUST111,2022,September
ORD2881,2023-01-17,Asia,Furniture,348.31,-86.48,CUST111,2023,January
ORD3853,2023-03-01,Asia,Technology,342.95,-9.32,CUST111,2023,March
ORD6100,2023-12-03,Asia,Office Supplies,112.49,29.22,CUST111,2023,December
ORD6105,2023-12-26,Europe,Office Supplies,417.27,-100.39,CUST111,2023,December
ORD6977,2022-12-14,Asia,Technology,327.14,-52.28,CUST111,2022,December
ORD7381,2023-06-30,Asia,Furniture,485.2,-55.07,CUST111,2023,June
ORD1362,2022-09-13,Asia,Technology,15.28,-2.95,CUST112,2022,September
ORD3357,2022-10-16,USA,Technology,126.95,25.37,CUST191,2022,October
ORD8475,2022-02-11,USA,Furniture,123.4,17.54,CUST536,2022,February
ORD3478,2023-07-08,Europe,Office Supplies,172.33,-13.75,CUST112,2023,July
ORD4643,2023-04-16,USA,Office Supplies,123.19,1.57,CUST291,2023,April
ORD5225,2023-06-03,Asia,Office Supplies,305.31,-61.01,CUST112,2023,June
ORD5872,2022-10-15,Europe,Furniture,43.59,10.49,CUST112,2022,October
ORD6340,2023-07-03,Asia,Office Supplies,456.72,101.78,CUST112,2023,July
ORD8155,2022-07-31,Europe,Furniture,428.32,-27.3,CUST112,2022,July
ORD5734,2022-08-25,USA,Office Supplies,115.27,16.45,CUST727,2022,August
ORD8866,2022-07-08,Europe,Office Supplies,169.42,47.89,CUST112,2022,July
ORD1167,2022-11-27,Asia,Technology,339.02,25.96,CUST113,2022,November
ORD1947,2022-02-09,USA,Office Supplies,111.83,9.08,CUST587,2022,February
ORD4057,2022-11-09,USA,Technology,103.83,-10.2,CUST768,2022,November
ORD5123,2022-01-22,Asia,Furniture,305.87,86.95,CUST113,2022,January
ORD5643,2022-08-20,Asia,Technology,318.74,21.79,CUST113,2022,August
ORD4117,2023-01-11,USA,Office Supplies,77.66,2.74,CUST815,2023,January
ORD5963,2022-12-30,USA,Office Supplies,67.95,-18.96,CUST231,2022,December
ORD2357,2022-03-10,USA,Technology,43.85,11.57,CUST517,2022,March
ORD7047,2022-10-31,Asia,Furniture,450.18,-113.53,CUST113,2022,October
ORD1247,2023-02-07,Asia,Office Supplies,318.69,-12.19,CUST114,2023,February
ORD2851,2022-05-27,Asia,Technology,174.07,-7.5,CUST114,2022,May
ORD3755,2023-07-13,Asia,Office Supplies,255.01,34.44,CUST114,2023,July
ORD3954,2023-01-21,Europe,Office Supplies,316.46,88.15,CUST114,2023,January
ORD6637,2022-02-14,Europe,Furniture,29.2,-3.94,CUST114,2022,February
ORD6982,2022-04-03,Unknown,Furniture,274.9,-19.05,CUST114,2022,April
ORD7893,2022-02-01,Europe,Technology,85.18,-24.5,CUST114,2022,February
ORD8027,2023-12-25,Europe,Office Supplies,343.2,28.85,CUST114,2023,December
ORD1172,2022-08-19,Asia,Technology,419.72,32.45,CUST115,2022,August
ORD2582,2023-11-19,Asia,Office Supplies,478.96,-4.13,CUST115,2023,November
ORD4322,2022-10-21,USA,Office Supplies,43.8,8.88,CUST409,2022,October
ORD4313,2022-12-23,Europe,Office Supplies,275.27,-43.39,CUST115,2022,December
ORD4971,2023-05-27,Europe,Office Supplies,420.5,-43.72,CUST115,2023,May
ORD5679,2022-04-06,Asia,Furniture,315.27,-35.5,CUST115,2022,April
ORD6656,2022-02-19,USA,Office Supplies,5.02,-1.15,CUST211,2022,February
ORD6333,2022-07-22,Asia,Technology,424.15,-108.63,CUST115,2022,July
ORD6595,2023-12-04,Europe,Furniture,77.03,-16.56,CUST115,2023,December
ORD1271,2023-10-14,USA,Furniture,5.12,0.27,CUST726,2023,October
ORD8603,2022-07-29,Europe,Technology,335.94,-12.95,CUST115,2022,July
ORD7324,2022-12-13,USA,Technology,5.25,1.0,CUST383,2022,December
ORD3350,2023-08-01,Europe,Technology,417.27,3.29,CUST116,2023,August
ORD4922,2022-09-29,Europe,Office Supplies,28.44,-6.68,CUST116,2022,September
ORD8479,2023-01-29,Europe,Furniture,438.43,54.82,CUST116,2023,January
ORD1355,2023-08-30,Europe,Technology,251.68,-20.99,CUST117,2023,August
ORD1710,2023-07-12,Europe,Office Supplies,72.69,19.71,CUST117,2023,July
ORD1886,2023-05-23,Europe,Furniture,361.32,82.93,CUST117,2023,May
ORD4216,2022-02-18,USA,Office Supplies,5.49,-0.36,CUST557,2022,February
ORD3623,2023-08-30,Europe,Office Supplies,499.94,20.92,CUST117,2023,August
ORD3906,2022-03-09,Asia,Furniture,489.79,-32.76,CUST117,2022,March
ORD4073,2023-08-26,Unknown,Office Supplies,366.57,-100.21,CUST117,2023,August
ORD5653,2022-07-04,Europe,Office Supplies,409.43,51.47,CUST117,2022,July
ORD5685,2022-12-14,Asia,Technology,150.54,-42.57,CUST117,2022,December
ORD8068,2023-05-24,USA,Furniture,5.82,-0.7,CUST477,2023,May
ORD6427,2023-01-19,Asia,Technology,146.63,-37.4,CUST117,2023,January
ORD3740,2023-04-26,USA,Technology,6.03,0.38,CUST691,2023,April
ORD7464,2023-09-26,Europe,Office Supplies,399.86,16.66,CUST117,2023,September
ORD8732,2023-06-13,Europe,Furniture,199.29,-23.7,CUST117,2023,June
ORD2014,2023-05-28,Asia,Office Supplies,49.48,-8.32,CUST118,2023,May
ORD6531,2023-12-15,USA,Furniture,6.32,1.43,CUST261,2023,December
ORD2527,2023-01-01,Europe,Technology,238.44,30.0,CUST118,2023,January
ORD3048,2023-11-19,Europe,Technology,108.0,-17.14,CUST118,2023,November
ORD3421,2023-02-24,Asia,Office Supplies,413.29,28.88,CUST118,2023,February
ORD5523,2023-04-16,USA,Technology,6.36,-1.82,CUST639,2023,April
ORD6611,2023-09-05,Europe,Office Supplies,275.95,12.98,CUST118,2023,September
ORD7206,2022-05-21,Asia,Furniture,356.71,-34.03,CUST118,2022,May
ORD7825,2023-05-16,Asia,Furniture,476.02,-120.0,CUST118,2023,May
ORD8394,2023-12-31,Unknown,Technology,169.11,-12.44,CUST118,2023,December
ORD8524,2022-03-21,Europe,Furniture,378.49,-70.69,CUST118,2022,March
ORD8678,2023-11-28,Asia,Office Supplies,25.4,5.79,CUST118,2023,November
ORD8008,2022-05-24,USA,Office Supplies,6.48,-1.55,CUST171,2022,May
ORD2835,2022-07-27,Asia,Technology,185.89,-36.92,CUST119,2022,July
ORD4373,2023-11-19,USA,Furniture,6.66,-0.5,CUST734,2023,November
ORD4902,2022-10-29,Europe,Technology,306.03,-4.1,CUST119,2022,October
ORD5660,2022-11-29,Europe,Office Supplies,148.02,35.24,CUST119,2022,November
ORD7122,2022-07-04,Asia,Office Supplies,45.19,-7.93,CUST119,2022,July
ORD4424,2022-12-31,USA,Technology,6.68,-0.61,CUST859,2022,December
ORD1365,2022-01-18,Asia,Furniture,436.32,16.65,CUST120,2022,January
ORD1464,2022-10-12,Asia,Furniture,239.31,-46.54,CUST120,2022,October
ORD1716,2023-12-10,Europe,Technology,433.56,-116.67,CUST120,2023,December
ORD1883,2022-01-03,USA,Furniture,7.08,-1.92,CUST775,2022,January
ORD2258,2023-01-16,Europe,Office Supplies,249.58,62.84,CUST120,2023,January
ORD3137,2022-12-11,Europe,Technology,301.26,-21.83,CUST120,2022,December
ORD5232,2022-07-29,Europe,Office Supplies,386.21,64.26,CUST120,2022,July
ORD5992,2022-03-27,Europe,Furniture,357.3,-49.93,CUST120,2022,March
ORD6958,2022-01-07,Asia,Furniture,411.47,-52.09,CUST120,2022,January
ORD7139,2022-07-16,Europe,Office Supplies,252.34,30.4,CUST120,2022,July
ORD3762,2023-05-20,USA,Furniture,7.16,-1.92,CUST171,2023,May
ORD8110,2022-09-24,Asia,Technology,87.85,25.44,CUST120,2022,September
