OrderID,OrderDate,Region,Category,Sales,Profit,CustomerID
ORD4315,7/28/2023,USA,Office Supplies,-499.13,123.26,CUST222
ORD1351,12/15/2022,EU,Technology,325.97,-88.16,CUST100
ORD1957,4/28/2022,Asia,Technology,9.84,-0.73,CUST100
ORD2310,2/11/2022,EU,Office Supplies,389.42,-104.29,CUST100
ORD1092,7/7/2022,US,Furniture,301.93,64.88,
ORD2763,1/30/2023,EU,Office Supplies,412.49,17.97,CUST100
ORD3782,12/22/2022,Europe,Office Supplies,225.68,-7.66,CUST100
ORD5587,5/14/2023,USA,Furniture,-466.48,1.94,CUST109
ORD6018,5/25/2022,EU,Office Supplies,66.74,5.42,CUST100
ORD6773,7/13/2022,Asia,Furniture,115.52,13.41,CUST100
ORD6993,9/3/2022,Asia,Technology,444.71,-50.28,CUST100
ORD7351,6/17/2022,asia ,Technology,230.17,67.2,CUST100
ORD7980,3/9/2023,USA,Office Supplies,-437.23,-105.24,CUST897
ORD7795,9/4/2023,EU,Office Supplies,290.67,-55.64,CUST100
ORD1314,2/2/2022,asia ,Furniture,481.88,109.55,CUST101
ORD7085,6/4/2022,USA,Furniture,-429.16,-7.57,CUST399
ORD2630,12/22/2022,Europe,Office Supplies,,12.56,CUST101
ORD1226,2/20/2023,USA,Furniture,275.73,-46.96,
ORD3507,3/25/2023,Europe,Technology,347.51,-8.5,CUST101
ORD3005,9/30/2023,USA,Office Supplies,-418.11,15.68,CUST970
ORD3111,4/27/2022,USA,Technology,-399.98,-6.48,CUST787
ORD6054,3/15/2023,asia ,Office Supplies,294.95,-79.68,CUST101
ORD8208,6/29/2022,,Furniture,269.33,-57.2,CUST101
ORD6421,5/26/2022,US,Technology,-390.4,55.45,CUST920
ORD8931,2/19/2023,US,Furniture,-388.62,78.76,CUST355
ORD1494,6/9/2022,EU,Furniture,251.73,-45.37,CUST102
ORD2510,3/16/2023,USA,Technology,-387.34,71.5,CUST685
ORD3472,7/18/2023,,Furniture,124.73,-3.77,CUST102
ORD7165,8/20/2023,USA,Furniture,-386.83,-14.05,CUST437
ORD1228,3/15/2023,USA,Technology,462.68,126.76,
ORD1519,3/31/2022,USA,Technology,-363.03,-31.64,CUST955
ORD6641,3/3/2023,USA,Technology,-359.61,-23.21,CUST852
ORD2536,2/16/2022,US,Technology,-358.56,8.95,CUST333
ORD7568,6/14/2022,EU,Office Supplies,121.03,-21.19,CUST102
ORD7849,8/22/2023,EU,Technology,200.62,5.47,CUST102
ORD7898,12/22/2023,EU,Technology,15.31,4.37,CUST102
ORD2198,3/5/2023,asia ,Technology,265.44,-6.35,CUST103
ORD5848,11/14/2023,Asia,Furniture,309.56,-54.17,CUST103
ORD6045,3/23/2023,asia ,Office Supplies,253.03,31.22,CUST103
ORD6601,3/4/2022,Asia,Office Supplies,476.01,116.02,CUST103
ORD6439,3/8/2023,US,Technology,-355.24,-96.42,CUST523
ORD1139,7/8/2023,asia ,Office Supplies,224.75,30.36,CUST104
ORD1217,1/20/2023,EU,Office Supplies,298.09,-72.15,CUST104
ORD2446,9/12/2023,Asia,Technology,219.19,-25.25,CUST104
ORD2741,7/16/2023,asia ,Furniture,256.35,17.24,CUST104
ORD3298,5/29/2022,asia ,Furniture,335.91,64.54,CUST104
ORD4747,8/23/2022,asia ,Technology,291.92,23.29,CUST104
ORD4747,8/23/2022,asia ,Technology,291.92,23.29,CUST104
ORD5137,1/10/2022,Europe,Office Supplies,259.89,-27.01,CUST104
ORD6431,7/29/2023,EU,Furniture,-274.66,-54.62,CUST104
ORD8898,2/15/2023,USA,Technology,-349.85,88.49,CUST258
ORD3256,5/10/2022,USA,Technology,-340.7,-6.67,CUST449
ORD4536,10/30/2022,USA,Office Supplies,-337.86,62.36,CUST592
ORD8464,12/31/2022,EU,Technology,255.65,48.18,CUST104
ORD1255,7/5/2023,USA,Technology,-327.48,-40.61,CUST196
ORD2352,4/8/2022,Europe,Technology,263.71,-37.46,CUST105
ORD5641,6/26/2023,US,Furniture,-316.42,-65.95,CUST397
ORD6792,11/16/2023,USA,Office Supplies,-310.38,79.01,CUST250
ORD7708,1/18/2022,EU,Office Supplies,-432.71,-16.14,CUST105
ORD8193,3/11/2022,USA,Office Supplies,-299.26,39.94,CUST882
ORD1233,10/21/2022,asia ,Furniture,418.75,78.4,CUST106
ORD1983,7/4/2023,Europe,Furniture,263.98,-22.17,CUST106
ORD3530,2/3/2023,Asia,Technology,,7.66,CUST106
ORD3945,7/21/2023,Europe,Technology,364.6,-38.74,CUST106
ORD4956,8/29/2023,asia ,Office Supplies,125.12,36.45,CUST106
ORD5200,6/17/2022,Asia,Office Supplies,118.67,-3.36,CUST106
ORD6139,5/26/2023,US,Technology,-281.35,-53.6,CUST379
ORD6094,1/22/2023,EU,Office Supplies,-284.82,75.6,CUST106
ORD8592,7/23/2022,Europe,Technology,343.08,5.32,CUST106
ORD7979,4/2/2022,USA,Technology,-278.5,-42.19,CUST910
ORD2216,2/24/2022,Europe,Furniture,342.46,-39.23,CUST107
ORD3158,12/28/2022,EU,Office Supplies,223.8,-41.14,CUST107
ORD5259,11/10/2023,Asia,Furniture,453.68,75.89,CUST107
ORD6544,5/10/2023,asia ,Office Supplies,499.83,-30.51,CUST107
ORD8577,7/28/2023,Europe,Furniture,71.82,-0.71,CUST107
ORD1216,8/13/2022,EU,Technology,187.66,-42.15,CUST108
ORD4578,7/27/2023,USA,Technology,-275.16,-13.1,CUST778
ORD4074,12/20/2022,EU,Furniture,350.81,-71.69,CUST108
ORD8406,2/28/2022,asia ,Furniture,248.41,-3.26,CUST108
ORD8540,8/25/2022,,Office Supplies,489.82,54.83,CUST108
ORD8776,1/31/2023,Asia,Technology,364.76,4.17,CUST108
ORD1164,9/12/2023,asia ,Technology,,-22.64,CUST109
ORD1305,8/3/2023,Europe,Office Supplies,327.8,-60.21,CUST109
ORD1275,1/9/2022,US,Office Supplies,451.94,98.07,
ORD2314,1/17/2022,US,Technology,-255.99,-36.83,CUST467
ORD4535,2/26/2022,US,Technology,-236.37,18.05,CUST666
ORD2620,1/31/2022,USA,Office Supplies,-234.15,-40.36,CUST848
ORD3550,10/10/2023,EU,Technology,128.58,21.66,CUST109
ORD3566,10/14/2023,Asia,Furniture,392.45,-33.68,CUST109
ORD3160,5/21/2022,USA,Technology,-227.73,60.95,CUST207
ORD2842,12/1/2023,USA,Technology,-218.81,-14.82,CUST456
ORD2659,8/10/2022,US,Technology,-216.93,-57.98,CUST214
ORD7236,1/2/2023,EU,Furniture,41.13,-3.6,CUST109
ORD2657,7/26/2023,US,Technology,-206.47,29.17,CUST775
ORD1972,4/28/2022,USA,Office Supplies,-197.59,-24.54,CUST666
ORD1423,12/16/2022,Asia,Technology,249.17,8.83,CUST110
ORD1423,12/16/2022,Asia,Technology,249.17,8.83,CUST110
ORD3118,4/15/2023,,Furniture,421.4,56.29,CUST110
ORD4400,5/2/2022,asia ,Technology,193.42,-20.4,CUST110
ORD1672,6/16/2023,US,Furniture,384.26,29.47,
ORD5800,7/1/2022,EU,Office Supplies,334.86,-7.1,CUST110
ORD6122,11/24/2022,USA,Furniture,-165.99,-15.02,CUST622
ORD7942,6/17/2022,EU,Office Supplies,-97.38,5.99,CUST110
ORD1556,12/8/2022,EU,Office Supplies,340.92,-30.04,CUST111
ORD3310,4/24/2022,US,Technology,-143.25,-12.06,CUST982
ORD2992,8/5/2022,US,Furniture,-135.73,-8.78,CUST662
ORD2676,9/27/2022,Asia,Furniture,399.4,103.16,CUST111
ORD2881,1/17/2023,asia ,Furniture,348.31,-86.48,CUST111
ORD3853,3/1/2023,Asia,Technology,342.95,-9.32,CUST111
ORD6100,12/3/2023,asia ,Office Supplies,112.49,29.22,CUST111
ORD6105,12/26/2023,Europe,Office Supplies,417.27,-100.39,CUST111
ORD6977,12/14/2022,Asia,Technology,327.14,-52.28,CUST111
ORD7381,6/30/2023,Asia,Furniture,485.2,-55.07,CUST111
ORD1362,9/13/2022,asia ,Technology,15.28,-2.95,CUST112
ORD3357,10/16/2022,USA,Technology,-126.95,25.37,CUST191
ORD8475,2/11/2022,US,Furniture,-123.4,17.54,CUST536
ORD3478,7/8/2023,EU,Office Supplies,-172.33,-13.75,CUST112
ORD4643,4/16/2023,US,Office Supplies,-123.19,1.57,CUST291
ORD5014,3/23/2022,Europe,Furniture,,-3.97,CUST112
ORD5225,6/3/2023,asia ,Office Supplies,305.31,-61.01,CUST112
ORD5872,10/15/2022,Europe,Furniture,43.59,10.49,CUST112
ORD6340,7/3/2023,asia ,Office Supplies,456.72,101.78,CUST112
ORD8155,7/31/2022,EU,Furniture,428.32,-27.3,CUST112
ORD5734,8/25/2022,US,Office Supplies,-115.27,16.45,CUST727
ORD8866,7/8/2022,EU,Office Supplies,169.42,47.89,CUST112
ORD1167,11/27/2022,Asia,Technology,339.02,25.96,CUST113
ORD1947,2/9/2022,USA,Office Supplies,-111.83,9.08,CUST587
ORD4057,11/9/2022,US,Technology,-103.83,-10.2,CUST768
ORD5123,1/22/2022,Asia,Furniture,305.87,86.95,CUST113
ORD5643,8/20/2022,asia ,Technology,318.74,21.79,CUST113
ORD1696,11/7/2023,USA,Technology,8.73,1.71,
ORD4117,1/11/2023,US,Office Supplies,-77.66,2.74,CUST815
ORD5963,12/30/2022,US,Office Supplies,-67.95,-18.96,CUST231
ORD2357,3/10/2022,USA,Technology,-43.85,11.57,CUST517
ORD7047,10/31/2022,Asia,Furniture,450.18,-113.53,CUST113
ORD1247,2/7/2023,asia ,Office Supplies,318.69,-12.19,CUST114
ORD2851,5/27/2022,Asia,Technology,174.07,-7.5,CUST114
ORD3755,7/13/2023,asia ,Office Supplies,255.01,34.44,CUST114
ORD3954,1/21/2023,Europe,Office Supplies,316.46,88.15,CUST114
ORD3954,1/21/2023,Europe,Office Supplies,316.46,88.15,CUST114
ORD6637,2/14/2022,Europe,Furniture,29.2,-3.94,CUST114
ORD6982,4/3/2022,,Furniture,274.9,-19.05,CUST114
ORD7893,2/1/2022,EU,Technology,85.18,-24.5,CUST114
ORD8027,12/25/2023,EU,Office Supplies,343.2,28.85,CUST114
ORD1172,8/19/2022,Asia,Technology,419.72,32.45,CUST115
ORD2582,11/19/2023,Asia,Office Supplies,478.96,-4.13,CUST115
ORD4322,10/21/2022,USA,Office Supplies,-43.8,8.88,CUST409
ORD4313,12/23/2022,EU,Office Supplies,275.27,-43.39,CUST115
ORD4971,5/27/2023,Europe,Office Supplies,420.5,-43.72,CUST115
ORD5679,4/6/2022,Asia,Furniture,315.27,-35.5,CUST115
ORD6656,2/19/2022,US,Office Supplies,5.02,-1.15,CUST211
ORD5882,12/9/2022,asia ,Furniture,,-6.19,CUST115
ORD6333,7/22/2022,asia ,Technology,424.15,-108.63,CUST115
ORD6595,12/4/2023,EU,Furniture,77.03,-16.56,CUST115
ORD1271,10/14/2023,USA,Furniture,5.12,0.27,CUST726
ORD8603,7/29/2022,Europe,Technology,335.94,-12.95,CUST115
ORD7324,12/13/2022,USA,Technology,5.25,1,CUST383
ORD1197,11/23/2023,Europe,Office Supplies,,-81.18,CUST116
ORD3350,8/1/2023,Europe,Technology,417.27,3.29,CUST116
ORD4922,9/29/2022,EU,Office Supplies,28.44,-6.68,CUST116
ORD8479,1/29/2023,Europe,Furniture,438.43,54.82,CUST116
ORD1355,8/30/2023,Europe,Technology,251.68,-20.99,CUST117
ORD1710,7/12/2023,EU,Office Supplies,72.69,19.71,CUST117
ORD1886,5/23/2023,EU,Furniture,361.32,82.93,CUST117
ORD4216,2/18/2022,USA,Office Supplies,5.49,-0.36,CUST557
ORD3623,8/30/2023,EU,Office Supplies,499.94,20.92,CUST117
ORD3906,3/9/2022,asia ,Furniture,489.79,-32.76,CUST117
ORD4073,8/26/2023,,Office Supplies,366.57,-100.21,CUST117
ORD5653,7/4/2022,EU,Office Supplies,409.43,51.47,CUST117
ORD5685,12/14/2022,asia ,Technology,150.54,-42.57,CUST117
ORD8068,5/24/2023,USA,Furniture,5.82,-0.7,CUST477
ORD6427,1/19/2023,asia ,Technology,146.63,-37.4,CUST117
ORD3740,4/26/2023,US,Technology,6.03,0.38,CUST691
ORD7464,9/26/2023,EU,Office Supplies,399.86,16.66,CUST117
ORD8732,6/13/2023,EU,Furniture,199.29,-23.7,CUST117
ORD2014,5/28/2023,Asia,Office Supplies,49.48,-8.32,CUST118
ORD6531,12/15/2023,USA,Furniture,6.32,1.43,CUST261
ORD2527,1/1/2023,Europe,Technology,238.44,30,CUST118
ORD3048,11/19/2023,Europe,Technology,108,-17.14,CUST118
ORD3421,2/24/2023,Asia,Office Supplies,413.29,28.88,CUST118
ORD5523,4/16/2023,US,Technology,6.36,-1.82,CUST639
ORD6611,9/5/2023,Europe,Office Supplies,275.95,12.98,CUST118
ORD7206,5/21/2022,Asia,Furniture,356.71,-34.03,CUST118
ORD7825,5/16/2023,asia ,Furniture,476.02,-120,CUST118
ORD8394,12/31/2023,,Technology,169.11,-12.44,CUST118
ORD8524,3/21/2022,EU,Furniture,378.49,-70.69,CUST118
ORD8678,11/28/2023,Asia,Office Supplies,25.4,5.79,CUST118
ORD8008,5/24/2022,US,Office Supplies,6.48,-1.55,CUST171
ORD2835,7/27/2022,asia ,Technology,185.89,-36.92,CUST119
ORD4373,11/19/2023,USA,Furniture,6.66,-0.5,CUST734
ORD4902,10/29/2022,Europe,Technology,306.03,-4.1,CUST119
ORD4954,12/18/2022,EU,Furniture,,-38.57,CUST119
ORD5660,11/29/2022,Europe,Office Supplies,148.02,35.24,CUST119
ORD7122,7/4/2022,Asia,Office Supplies,45.19,-7.93,CUST119
ORD4424,12/31/2022,USA,Technology,6.68,-0.61,CUST859
ORD1712,9/10/2022,USA,Furniture,340.88,-89.84,
ORD1365,1/18/2022,asia ,Furniture,436.32,16.65,CUST120
ORD1464,10/12/2022,Asia,Furniture,239.31,-46.54,CUST120
ORD1716,12/10/2023,EU,Technology,433.56,-116.67,CUST120
ORD1883,1/3/2022,US,Furniture,7.08,-1.92,CUST775
ORD2258,1/16/2023,Europe,Office Supplies,249.58,62.84,CUST120
ORD3137,12/11/2022,Europe,Technology,301.26,-21.83,CUST120
ORD5232,7/29/2022,EU,Office Supplies,386.21,64.26,CUST120
ORD5992,3/27/2022,Europe,Furniture,357.3,-49.93,CUST120
ORD6958,1/7/2022,asia ,Furniture,411.47,-52.09,CUST120
ORD7139,7/16/2022,EU,Office Supplies,252.34,30.4,CUST120
ORD3762,5/20/2023,USA,Furniture,7.16,-1.92,CUST171
ORD8110,9/24/2022,Asia,Technology,87.85,25.44,CUST120
ORD8249,5/20/2022,Europe,Technology,7.28,-1.11,CUST120
